Name,Lat,Long,Year,Mean
NULKWYNE KIAMAL,-34.9272,142.1765,1930,20.35
NULKWYNE KIAMAL,-34.9272,142.1765,1940,22.65
NULKWYNE KIAMAL,-34.9272,142.1765,1950,23.76
NULKWYNE KIAMAL,-34.9272,142.1765,1960,28.6
NULKWYNE KIAMAL,-34.9272,142.1765,1970,25.07
NULKWYNE KIAMAL,-34.9272,142.1765,1980,31.93
NULKWYNE KIAMAL,-34.9272,142.1765,1990,23.95
NULKWYNE KIAMAL,-34.9272,142.1765,2000,26.43
NULKWYNE KIAMAL,-34.9272,142.1765,2010,21.71
NULKWYNE KIAMAL,-34.9272,142.1765,2020,21.2
NULKWYNE KIAMAL,-34.9272,142.1765,2030,25.0
NYAH,-35.1762,142.3700,1900,33.92
NYAH,-35.1762,142.3700,1910,24.33
NYAH,-35.1762,142.3700,1920,24.07
NYAH,-35.1762,142.3700,1940,23.65
NYAH,-35.1762,142.3700,1950,25.12
NYAH,-35.1762,142.3700,1960,32.85
NYAH,-35.1762,142.3700,1970,29.57
NYAH,-35.1762,142.3700,1980,31.95
NYAH,-35.1762,142.3700,1990,26.86
NYAH,-35.1762,142.3700,2000,29.38
NYAH,-35.1762,142.3700,2010,25.32
NYAH,-35.1762,142.3700,2020,23.64
NYAH,-35.1762,142.3700,2030,27.24
NYAH WEST POST OFFICE,-35.1833,143.3333,1930,22.83
NYAH WEST POST OFFICE,-35.1833,143.3333,1940,25.93
NYAH WEST POST OFFICE,-35.1833,143.3333,1950,25.81
NYAH WEST POST OFFICE,-35.1833,143.3333,1960,33.01
NYAH WEST POST OFFICE,-35.1833,143.3333,1970,29.89
NYAH WEST POST OFFICE,-35.1833,143.3333,1980,34.26
NYAH WEST POST OFFICE,-35.1833,143.3333,2030,29.0
NYAH (YARRABY TANK),-35.1670,142.2781,1900,28.05
NYAH (YARRABY TANK),-35.1670,142.2781,1910,26.12
NYAH (YARRABY TANK),-35.1670,142.2781,1920,29.25
NYAH (YARRABY TANK),-35.1670,142.2781,1930,23.46
NYAH (YARRABY TANK),-35.1670,142.2781,1940,23.38
NYAH (YARRABY TANK),-35.1670,142.2781,1950,23.9
NYAH (YARRABY TANK),-35.1670,142.2781,1960,31.46
NYAH (YARRABY TANK),-35.1670,142.2781,1970,28.7
NYAH (YARRABY TANK),-35.1670,142.2781,1980,32.19
NYAH (YARRABY TANK),-35.1670,142.2781,1990,27.45
NYAH (YARRABY TANK),-35.1670,142.2781,2000,29.8
NYAH (YARRABY TANK),-35.1670,142.2781,2010,26.94
NYAH (YARRABY TANK),-35.1670,142.2781,2020,25.35
NYAH (YARRABY TANK),-35.1670,142.2781,2030,27.45
